Total Pressure [kPa], Mole Fraction Gas 1, Mole Fraction Gas 2, Partial Pressure Gas 1, Partial Pressure Gas 2, loading Gas 1 [mmol/g], loading Gas 2 [mmol/g], Selectivity 
65,0.05,0.95,3.25,61.75,4.608029595,13.46560639,6.501939813
65,0.1,0.9,6.5,58.5,7.748337938,11.00821795,6.334816566
65,0.2,0.8,13,52,11.79616988,7.774218077,6.069379458
65,0.3,0.7,19.5,45.5,14.32601742,5.70148872,5.862920305
65,0.4,0.6,26,39,16.07752222,4.235044318,5.694458314
65,0.5,0.5,32.5,32.5,17.37357362,3.128950465,5.55252434
65,0.6,0.4,39,26,18.37856187,2.256359323,5.430152215
65,0.7,0.3,45.5,19.5,19.18540448,1.544737755,5.322790991
65,0.8,0.2,52,13,19.85077262,0.94937917,5.227303601
65,0.9,0.1,58.5,6.5,20.41129531,0.441106635,5.141436379
65,0.95,0.05,61.75,3.25,20.66030961,0.213147058,5.101570365
